doculect	concept	ipa	asjp	cogid	Gold
Laang	eight	aya	aia	3	7
Sawa	eight	aya	aia	3	7
Tau	eight	aya	aia	3	7
Badeng	eight	aya	aia	3	7
Maanyan	eight	waluʔ	walu7	4	8
Dusun	eight	waluʔ	walu7	4	8
Tawoyan	eight	walo	walo	4	8
Paser	eight	walu	walu	4	8
Benuaq	eight	walo	walo	4	8
Tunjung	eight	kaluᵏŋ	kaluN	4	9
Basap (Lebo)	eight	kaloŋ	kaloN	4	9
Tabalar Basap	eight	walu	walu	4	8
Segai Basap	eight	kaloŋ	kaloN	4	9
Lun-Dayeh	eight	waluh	waluh	4	8
Kelabit	eight	waluh	waluh	4	8
Miri	eight	badiʔ	badi7	4	10
SBisaya	eight	waluʔ	walu7	4	8
BrDusun	eight	waluʔ	walu7	4	8
LBisaya	eight	baluʔ	balu7	4	8
Lotud	eight	waluʔ	walu7	4	8
Idaan	eight	walu	walu	4	8
Seguliud	eight	wolu	wolu	4	8
Begak	eight	olu	olu	4	8
Bonggi	eight	waluʔ	walu7	4	8
Molbog	eight	walu	walu	4	8
Bulungan	eight	walu	walu	4	8
Long Gelat	eight	təʤao̯ʔ	t3jao7	5	
Modang woeg helag	eight	təʤao̯ʔ	t3jao7	5	
Gaai	eight	ʤoʔ	jo7	6	5
Kelai	eight	ʤɛʔ	jE7	6	5
Punan Tuvu'	eight	yan	ian	7	6
Punan Aput	eight	ean	ean	7	6
Hovongan	eight	hean	hean	7	6
Kereho	eight	hean	hean	7	6
Seputan	eight	hean	hean	7	6
Aoheng	eight	hean	hean	7	6
Sekapan	eight	aʑan	aZan	8	6
Kejaman	eight	aʑan	aZan	8	6
Lahanan	eight	aʤan	ajan	8	6
Buket	eight	aen	aen	8	6
Beketan	eight	kənaʔay	k3na7ai	9	11
Punan Lisum	eight	kənaʔay	k3na7ai	9	
Rungus	eight	valuʔ			8
Kadazan Kimanis	eight	valuʔ			8
Dumpas	eight	waluʔ			8
Lingkabau	eight	waluʔ			8
Lobu Lanas	eight	baluʔ			8
Tatana	eight	baluʔ			8
Papar	eight	baluʔ			8
Timugon Murut	eight	baluʔ			8
Tidung Sumbol	eight	waluʔ			8
Taman	elbow	siku	siku	1	
Ambalo	elbow	siŋkul	siNkul	1	
Indonesian/Malay	elbow	siku	siku	1	
Kendayan 2	elbow	sikuʔ	siku7	1	
Ketapang	elbow	siku santaŋ	sikusantaN	1	
Keninjal	elbow	siku	siku	1	
Upper Kapuas Iban	elbow	siku	siku	1	
Mualang	elbow	siku	siku	1	
Benyadu	elbow	sikuʔ	siku7	1	
Bekati	elbow	sikuʔ	siku7	1	
Bekati	elbow	ñikuʔ	niku7	1	
Sungkung	elbow	sihkutn	sihkutn	1	
Golik	elbow	sikuh	sikuh	1	
Jangkang	elbow	cikuh	Tikuh	1	
Ribun	elbow	cikuh	Tikuh	1	
Pangkodan Sanggau	elbow	siku	siku	1	
Kadorih	elbow	siʰku	sihku	1	
Ngaju	elbow	sikuʔ	siku7	1	
Kapuas	elbow	siku	siku	1	
Bakumpai	elbow	siku	siku	1	
Maanyan	elbow	hiku	hiku	1	
Dusun	elbow	hiku	hiku	1	
Tawoyan	elbow	sikuʔ	siku7	1	
Paser	elbow	sikuʔ	siku7	1	
Benuaq	elbow	sikuʔ	siku7	1	
Tunjung	elbow	sikuʔ	siku7	1	
Basap (Lebo)	elbow	siku	siku	1	
Tabalar Basap	elbow	siko	siko	1	
Segai Basap	elbow	siko	siko	1	
Ngorek	elbow	ikoʔ	iko7	1	
Baram Kayan	elbow	hikoʔ	hiko7	1	
Apo Kayan Kayan	elbow	hikun	hikun	1	
Busang	elbow	hikun	hikun	1	
Bahau Saq	elbow	hikuːʔ	hiku7	1	
PKM	elbow	sikun	sikun	1	
Dalat Melanau	elbow	sikəw	sik3w	1	
Kanowit	elbow	sikun	sikun	1	
Sekapan	elbow	sikəw	sik3w	1	
Kejaman	elbow	sikaw	sikaw	1	
Lahanan	elbow	sikaw	sikaw	1	
Punan Tuvu'	elbow	ikun	ikun	1	
Punan Bah	elbow	iku	iku	1	
Beketan	elbow	sikun	sikun	1	
Punan Lisum	elbow	sikun	sikun	1	
Punan Aput	elbow	sikun	sikun	1	
Ukit	elbow	siku	siku	1	
Buket	elbow	sikuk	sikuk	1	
Hovongan	elbow	sikun	sikun	1	
Kereho	elbow	siku	siku	1	
Seputan	elbow	sikun	sikun	1	
Aoheng	elbow	sikun	sikun	1	
Sebop (old)	elbow	sikun	sikun	1	
Penan Mubui	elbow	sikun	sikun	1	
Penan Jekitan	elbow	sikun	sikun	1	
Penan Beku	elbow	sikun	sikun	1	
Vo	elbow	siku	siku	1	
Pawe	elbow	sikəw	sik3w	1	
Gah	elbow	siku	siku	1	
Laang	elbow	siku	siku	1	
Sawa	elbow	siku	siku	1	
Tau	elbow	siku	siku	1	
Badeng	elbow	siku	siku	1	
Lun-Dayeh	elbow	sikuh	sikuh	1	
Kelabit	elbow	sikuh	sikuh	1	
Kelabit	elbow	iyuh	iiuh	1	
Narum	elbow	ihaw	ihaw	1	
Kiput	elbow	ticəw	tiT3w	1	
Berawan (jeegan)	elbow	cækaw	TEkaw	1	
Berawan (jeegan)	elbow	cækkaw	TEkkaw	1	
Berawan (Terawan)	elbow	sikkoh	sikkoh	1	
SBisaya	elbow	siku	siku	1	
BrDusun	elbow	siku	siku	1	
LBisaya	elbow	siku	siku	1	
Lotud	elbow	siku	siku	1	
Burusu	elbow	siku	siku	1	
Idaan	elbow	siku	siku	1	
Seguliud	elbow	siku	siku	1	
Begak	elbow	siku	siku	1	
Bonggi	elbow	sihu	sihu	1	
Molbog	elbow	siku	siku	1	
Bulungan	elbow	siku	siku	1	
Mpraa	elbow	kiwʔ	kiw7	2	1
Mpraa	elbow	kiəwʔ	ki3w7	2	1
Long Gelat	elbow	goə̯ʔ	go37	3	2
Modang woeg helag	elbow	paᵍŋ gok	paNgok	3	2
Gaai	elbow	gɒk	gok	3	2
Kelai	elbow	paŋgok	paNgok	3	2
Seberuang	elbow	kəpalaʔ sikəu̯	k3pala7sik3u	4	1
Rungus	elbow	siku			1
Kadazan Kimanis	elbow	siku			1
Dumpas	elbow	siku			1
Lingkabau	elbow	siku			1
Lobu Lanas	elbow	siku			1
Tatana	elbow	siku			1
Papar	elbow	siku			1
Timugon Murut	elbow	siku			1
Tidung Sumbol	elbow	siku			1
Taman	empty	kosoŋ	kosoN	1	
Ambalo	empty	aŋkosan	aNkosan	1	
Indonesian/Malay	empty	kosoŋ	kosoN	1	
Kendayan 2	empty	kosoŋ	kosoN	1	
Keninjal	empty	kosoŋ	kosoN	1	
Seberuang	empty	kosoŋ	kosoN	1	
Bekati	empty	kosoŋ	kosoN	1	
Hliboi Bidayuh	empty	kosoŋ	kosoN	1	
Sungkung	empty	kosoŋ	kosoN	1	
Jangkang	empty	kosokŋ	kosokN	1	
Pangkodan Sanggau	empty	kosoŋ	kosoN	1	
Bakumpai	empty	kosoŋ	kosoN	1	
Dusun	empty	kosoᵍŋ	kosoN	1	
Paser	empty	kosoŋ	kosoN	1	
Benuaq	empty	kosoŋ	kosoN	1	
Basap (Lebo)	empty	kosoŋ	kosoN	1	
Dalat Melanau	empty	kosoŋ	kosoN	1	
Kanowit	empty	kosoŋ	kosoN	1	
Hovongan	empty	kosoŋ	kosoN	1	
Penan Mubui	empty	usan	usan	1	2
Penan Jekitan	empty	usan	usan	1	2
Penan Beku	empty	usan	usan	1	2
Lun-Dayeh	empty	ametan	ametan	1	3
Miri	empty	kusuŋ	kusuN	1	
Narum	empty	kosoŋ	kosoN	1	
Burusu	empty	kosoŋ	kosoN	1	
Ketapang	empty	puaŋ	puaN	2	4
Upper Kapuas Iban	empty	puaŋ	puaN	2	4
Mualang	empty	puaŋ	puaN	2	4
Kadorih	empty	buhaŋ	buhaN	2	4
Ngaju	empty	buaŋ	buaN	2	4
Maanyan	empty	paʔ uweᵍŋ	pa7uweN	2	4
Ngorek	empty	bəlawəŋ	b3law3N	2	5
Mpraa	empty	blawaŋ	blawaN	2	5
Beketan	empty	puaŋ	puaN	2	4
Punan Lisum	empty	buaŋ	buaN	2	4
Punan Aput	empty	luaŋ	luaN	2	6
Ukit	empty	buaŋ	buaN	2	4
Buket	empty	buaŋ	buaN	2	4
Kereho	empty	boʔaŋ	bo7aN	2	4
Berawan (Terawan)	empty	ləbaŋ	l3baN	2	7
Baram Kayan	empty	halah	halah	3	8
Apo Kayan Kayan	empty	halah	halah	3	8
Busang	empty	halah	halah	3	8
Long Gelat	empty	ŋətleh	N3tleh	3	8
Kendayan 2	empty	ampaʔ	ampa7	4	9
Kereho	empty	rampa	rampa	4	9
Modang woeg helag	empty	kənguəŋ	k3ngu3N	5	10
Sekapan	empty	kaŋuə	kaNu3	5	10
Kejaman	empty	kəʔaŋuə̯ŋ	k37aNu3N	5	10
Lahanan	empty	kəŋuŋ	k3NuN	5	10
Punan Bah	empty	kaŋwan	kaNwan	5	10
Vo	empty	kəlaŋan	k3laNan	5	11
Pawe	empty	kəlaŋan	k3laNan	5	11
Gah	empty	kəlaŋan	k3laNan	5	11
Laang	empty	kəlaŋan	k3laNan	5	11
Sawa	empty	kəlaŋan	k3laNan	5	11
Tau	empty	kəlaŋan	k3laNan	5	11
Badeng	empty	kəlaŋan	k3laNan	5	11
Kiput	empty	kəlaŋaan	k3laNaan	5	11
Berawan (jeegan)	empty	kəlaŋan	k3laNan	5	11
Kapuas	empty	ʤatun tiʔisiʔ	jatunti7isi7	6	12
Tawoyan	empty	awe atək	aweat3k	6	13
Tawoyan	empty	awe isiʔ	aweisi7	6	14
Tunjung	empty	haiʔ usiʔ	hai7usi7	6	15
Benyadu	empty	ñaduʔ baʤaeʤae	nadu7bajaejae	7	16
Golik	empty	moñop	monop	8	17
Ribun	empty	kido hobis	kidohobis	9	18
Maanyan	empty	ma͂hi͂	mahi	10	19
Gaai	empty	alhuy	alhui	11	20
Kelai	empty	anæː cɛʔ	anETE7	12	21
Seputan	empty	ñan hana	nanhana	13	22
Kendayan 2	enemy	musuh	musuh	1	
Keninjal	enemy	musuh	musuh	1	
Upper Kapuas Iban	enemy	munsoə̯h	munso3h	1	
Mualang	enemy	musoə̯h	muso3h	1	
Benyadu	enemy	munsuh	munsuh	1	
Bekati	enemy	bamusuh	bamusuh	1	
Hliboi Bidayuh	enemy	musuh	musuh	1	
Golik	enemy	musúh	musuh	1	
Jangkang	enemy	musu	musu	1	
Pangkodan Sanggau	enemy	musuh	musuh	1	
Kadorih	enemy	musuh	musuh	1	
Ngaju	enemy	musuh	musuh	1	
Maanyan	enemy	musuh	musuh	1	
Dusun	enemy	musuh	musuh	1	
Paser	enemy	musuh	musuh	1	
Tabalar Basap	enemy	musuh	musuh	1	
Segai Basap	enemy	musuh	musuh	1	
Dalat Melanau	enemy	musuh	musuh	1	
Kanowit	enemy	musoh	musoh	1	
Beketan	enemy	musuh	musuh	1	
Punan Lisum	enemy	musu	musu	1	
Hovongan	enemy	musuh	musuh	1	
Kereho	enemy	musuh	musuh	1	
Lun-Dayeh	enemy	munuʔ	munu7	1	
Burusu	enemy	musuh	musuh	1	
Seberuang	enemy	lawan	lawan	2	
Sungkung	enemy	lawatn	lawatn	2	
Tunjung	enemy	lawəᵗn	law3n	2	
Long Gelat	enemy	luwan	luwan	2	
Gaai	enemy	lawan	lawan	2	
Sekapan	enemy	kaʑaw	kaZaw	2	
Lahanan	enemy	ʤaw	jaw	2	
Buket	enemy	lawan	lawan	2	
Aoheng	enemy	lawan	lawan	2	
Apo Kayan Kayan	enemy	ayaw	aiaw	3	
Sebop (old)	enemy	ayaw	aiaw	3	
Penan Beku	enemy	ayaw	aiaw	3	
Vo	enemy	ayaw	aiaw	3	
Badeng	enemy	ayaw	aiaw	3	
Punan Tuvu'	enemy	bənuʔan	b3nu7an	4	
Punan Aput	enemy	bunuʔ	bunu7	4	
Berawan (Terawan)	enemy	buno	buno	4	
Tawoyan	enemy	nopa	nopa	5	
Tawoyan	enemy	topa	topa	5	
Ketapang	enemy	hútaŋan	hutaNan	6	
Modang woeg helag	enemy	həlaŋ	h3laN	6	
Ambalo	enemy	paŋayo	paNaio	7	
Kejaman	enemy	ʤəʔat səŋah	j37ats3Nah	8	
Punan Bah	enemy	ŋañow	Nanow	9	
Ukit	enemy	pupun	pupun	10	
Taman	enough	cukup	Tukup	1	
Indonesian/Malay	enough	cukup	Tukup	1	
Kendayan 2	enough	cukup	Tukup	1	
Keninjal	enough	cukup	Tukup	1	
Seberuang	enough	cukop	Tukop	1	
Upper Kapuas Iban	enough	cukoə̯p	Tuko3p	1	
Mualang	enough	cukoə̯p	Tuko3p	1	
Benyadu	enough	cukup	Tukup	1	
Bekati	enough	sukup	sukup	1	
Golik	enough	cukup	Tukup	1	
Jangkang	enough	cukup	Tukup	1	
Kadorih	enough	cukup	Tukup	1	
Bakumpai	enough	cukup	Tukup	1	
Maanyan	enough	sukup	sukup	1	
Dusun	enough	sukup	sukup	1	
Tawoyan	enough	sukup	sukup	1	
Paser	enough	cukup	Tukup	1	
Benuaq	enough	sukup	sukup	1	
Tunjung	enough	sukup	sukup	1	
Segai Basap	enough	cukuk	Tukuk	1	
Apo Kayan Kayan	enough	sukup	sukup	1	
Busang	enough	sukup	sukup	1	
Bahau Saq	enough	sukup	sukup	1	
Dalat Melanau	enough	cukup	Tukup	1	
Sekapan	enough	cukup	Tukup	1	
Kejaman	enough	cukup	Tukup	1	
Lahanan	enough	cukup	Tukup	1	
Punan Bah	enough	sukup	sukup	1	
Ukit	enough	sukup	sukup	1	
Kereho	enough	cukup	Tukup	1	
Aoheng	enough	cukup	Tukup	1	
Sebop (old)	enough	sukup	sukup	1	
Penan Jekitan	enough	cukup	Tukup	1	
Vo	enough	sukop	sukop	1	
Berawan (jeegan)	enough	cukup	Tukup	1	
Berawan (jeegan)	enough	cukkup	Tukkup	1	
Berawan (Terawan)	enough	sukup	sukup	1	
Burusu	enough	sukup	sukup	1	
Benyadu	enough	pas	pas	2	
Ribun	enough	boyoh	boioh	2	
Pangkodan Sanggau	enough	biɑh	biah	2	
Ngaju	enough	pas	pas	2	
Kanowit	enough	padaʔ	pada7	2	
Seputan	enough	poʔo	po7o	2	
Ketapang	enough	gonap	gonap	3	
Hliboi Bidayuh	enough	gop	gop	3	
Tabalar Basap	enough	gənap	g3nap	3	
Segai Basap	enough	gənəp	g3n3p	3	
Kapuas	enough	sadaŋ	sadaN	4	
Segai Basap	enough	hanaŋ	hanaN	4	
Mpraa	enough	ntaːŋ	ntaN	4	
Gaai	enough	alaŋ	alaN	4	
Kelai	enough	alaŋ	alaN	4	
Beketan	enough	tahak	tahak	5	
Punan Lisum	enough	tahak	tahak	5	
Hovongan	enough	halop	halop	6	
Kereho	enough	halop	halop	6	
Modang woeg helag	enough	ŋaʔ	Na7	7	
Punan Tuvu'	enough	ŋoːm	Nom	7	
Kereho	enough	ʤaŋkaʔ	jaNka7	7	
Ambalo	enough	tuli	tuli	8	
Sungkung	enough	təŋɨs	t3N3s	9	
Punan Aput	enough	bɛn	bEn	10	
Buket	enough	arəyɨ	ar3i3	11	
Seputan	enough	hoɾun	horun	12	
Lun-Dayeh	enough	miək	mi3k	13	
Ambalo	enter	intama	intama	1	
Kendayan 2	enter	tamaʔ	tama7	1	
Ketapang	enter	tamo	tamo	1	
Keninjal	enter	tamaʔ	tama7	1	
Seberuang	enter	tamaʔ	tama7	1	
Upper Kapuas Iban	enter	tamaʔ	tama7	1	
Mualang	enter	tamaʔ	tama7	1	
Jangkang	enter	tama	tama	1	
Ngaju	enter	tameʔ	tame7	1	
Kapuas	enter	tameʔ	tame7	1	
Long Gelat	enter	əntum	3ntum	1	2
Beketan	enter	ʤamo	jamo	1	3
Hliboi Bidayuh	enter	milut	milut	2	4
Sungkung	enter	məlɨt	m3l3t	2	4
Golik	enter	mɘʀət	m3r3t	2	4
Indonesian/Malay	enter	masuk	masuk	3	5
Benyadu	enter	murah	murah	3	6
Bekati	enter	masoʔ	maso7	3	5
Ribun	enter	masuə̯k	masu3k	3	5
Pangkodan Sanggau	enter	masoʔ	maso7	3	5
Maanyan	enter	masuk	masuk	3	5
Dusun	enter	suluk	suluk	3	7
Tawoyan	enter	sua	sua	3	8
Paser	enter	sumba	sumba	3	9
Mpraa	enter	ʄap	Cap	3	10
Dalat Melanau	enter	masok	masok	3	5
Kanowit	enter	masok	masok	3	5
Punan Bah	enter	masoa̯ʔ	masoa7	3	12
Punan Lisum	enter	mɛʤo	mEjo	3	11
Punan Aput	enter	muhok	muhok	3	12
Ukit	enter	masək	mas3k	3	12
Buket	enter	masək	mas3k	3	12
Hovongan	enter	masaʔ	masa7	3	12
Kereho	enter	masaʔ	masa7	3	12
Seputan	enter	masaʔ	masa7	3	12
Vo	enter	masək	mas3k	3	12
Lun-Dayeh	enter	səmuət	s3mu3t	3	13
Narum	enter	muak	muak	3	14
Kiput	enter	uək	u3k	3	14
Berawan (Terawan)	enter	masəʔ	mas37	3	12
SBisaya	enter	sinumuaŋ	sinumuaN	3	15
BrDusun	enter	samuon	samuon	3	15
Lotud	enter	summon	summon	3	15
Idaan	enter	səmuok	s3muok	3	16
Seguliud	enter	suok	suok	3	16
Begak	enter	suok	suok	3	16
Bonggi	enter	səmələhei	s3m3l3hei	3	17
Bonggi	enter	sumuak	sumuak	3	16
Molbog	enter	suŋlod	suNlod	3	118
Bulungan	enter	sabi	sabi	3	19
Bulungan	enter	mancoʔ	manTo7	3	20
Basap (Lebo)	enter	ñeləm	nel3m	4	21
Tabalar Basap	enter	n͂ilam	nilam	4	21
Segai Basap	enter	ŋiləm	Nil3m	4	21
Apo Kayan Kayan	enter	haləm	hal3m	4	22
Gaai	enter	luaŋ	luaN	5	23
Kelai	enter	tluə̯ŋ	tlu3N	5	23
Sekapan	enter	dəmai	d3mai	6	24
Kejaman	enter	dəmay	d3mai	6	24
Lahanan	enter	ləmay	l3mai	6	24
Kadorih	enter	ñõɾ̃õŋ	noroN	7	25
Punan Tuvu'	enter	maboŋ	maboN	7	26
Punan Tuvu'	enter	naboŋ	naboN	7	26
Punan Tuvu'	enter	ñaboŋ	naboN	7	26
Punan Tuvu'	enter	mumboh	mumboh	8	27
LBisaya	enter	mumpos	mumpos	8	27
Burusu	enter	mumpos	mumpos	8	27
Idaan	enter	mənnik	m3nnik	9	28
Seguliud	enter	monnik	monnik	9	28
Begak	enter	mənnik	m3nnik	9	28
Tawoyan	enter	lotəp	lot3p	10	29
Molbog	enter	tindal	tindal	11	30
Rungus	enter	sumuvang			15
Kadazan Kimanis	enter	sumufang			15
Dumpas	enter	masuʔ			5
Lingkabau	enter	masuu			5
Lobu Lanas	enter	sumuaʔ			16
Tatana	enter	sumuang			15
Papar	enter	rumusod			31
Timugon Murut	enter	sumubol			32
Tidung Sumbol	enter	mumpos			33
Golik	evening	lamət ɔnu	lam3tonu	1	
Jangkang	evening	lamat onu	lamatonu	1	
Indonesian/Malay	evening	sore	sore	2	
Pangkodan Sanggau	evening	soɣe	soxe	2	
Kapuas	evening	sanʤaʔ	sanja7	3	
Bakumpai	evening	sanʤaʔ	sanja7	3	
Tabalar Basap	evening	tahup	tahup	4	
Segai Basap	evening	tahaup	tahaup	4	
Hovongan	evening	caho	Taho	4	
Sebop (old)	evening	taop	taop	4	
Penan Jekitan	evening	taup	taup	4	
Penan Beku	evening	laŋit taop	laNittaop	4	
Vo	evening	ŋətaup	N3taup	4	
Gah	evening	tey taw	teitaw	4	
Laang	evening	taup	taup	4	
Tau	evening	tay taup	taitaup	4	
Badeng	evening	taup	taup	4	
Maanyan	evening	kariveʔ	karive7	5	
Basap (Lebo)	evening	tiliŋ	tiliN	5	
Ngorek	evening	təroʔ ləbiʔ	t3ro7l3bi7	5	
Baram Kayan	evening	daw ləvi	dawl3vi	5	
Apo Kayan Kayan	evening	ləfiʔ daw	l3fi7daw	5	
Bahau Saq	evening	ləfiːʔ	l3fi7	5	
PKM	evening	ləbiʔ	l3bi7	5	
Modang woeg helag	evening	tələwəyʔ	t3l3w3i7	5	
Kelai	evening	dalaweʔ	dalawe7	5	
Punan Tuvu'	evening	ləbih	l3bih	5	
Penan Mubui	evening	divaʔ	diva7	5	
Pawe	evening	ləviʔ ɗaw	l3vi7Taw	5	
Sawa	evening	libaʔ taw	liba7taw	5	
Sekapan	evening	nəʑaw	n3Zaw	6	
Kejaman	evening	nəñaw	n3naw	6	
Taman	evening	dampa malam	dampamalam	7	
Ambalo	evening	pomalam	pomalam	7	
Kendayan 2	evening	gumarɛʔ	gumarE7	7	
Keninjal	evening	palam aɣi	palamaxi	7	
Seberuang	evening	malam aɣey	malamaxei	7	
Mualang	evening	malam aɣi	malamaxi	7	
Dalat Melanau	evening	bah abey	bahabei	7	
Kanowit	evening	ləmay	l3mai	7	
Lahanan	evening	ɮaw ləmaʔ	Lawl3ma7	7	
Punan Bah	evening	balomey	balomei	7	
Beketan	evening	lamey	lamei	7	
Kereho	evening	lome	lome	7	
Narum	evening	ləmeə̯ʔ	l3me37	7	
Berawan (Terawan)	evening	ləmaləm	l3mal3m	7	
Benyadu	evening	ñalah ano	nalahano	8	
Benyadu	evening	ŋarame ano	Narameano	8	
Ketapang	evening	mərian	m3rian	9	
Hliboi Bidayuh	evening	hŋumi	hNumi	10	
Sungkung	evening	siʔ mi	si7mi	11	
Ribun	evening	mihinu	mihinu	12	
Sebop (old)	evening	maña	mana	13	
Lun-Dayeh	evening	mapit mərsən	mapitm3rs3n	14	
Busang	every	putuŋ	putuN	1	
Bahau Saq	every	putuːŋ	putuN	1	
Gaai	every	ʤiən	ji3n	2	
Kelai	every	ʤin	jin	2	
Benuaq	every	səkoreᵏŋ	s3koreN	3	
Sekapan	every	akan	akan	3	
Punan Bah	every	karen	karen	3	
Punan Lisum	every	karən	kar3n	3	
Punan Aput	every	koren	koren	3	
Ukit	every	karən	kar3n	3	
Buket	every	karən	kar3n	3	
Indonesian/Malay	every	setiap	setiap	4	
Kendayan 2	every	satiap	satiap	4	
Keninjal	every	sətiap	s3tiap	4	
Seberuang	every	sətiap	s3tiap	4	
Upper Kapuas Iban	every	sətiap	s3tiap	4	
Mualang	every	sətiap	s3tiap	4	
Benyadu	every	tiap	tiap	4	
Bekati	every	sətiap	s3tiap	4	
Hliboi Bidayuh	every	tia̩p	tiap	4	
Golik	every	sətiap	s3tiap	4	
Jangkang	every	tiap	tiap	4	
Pangkodan Sanggau	every	sətiap	s3tiap	4	
Ngaju	every	tiap	tiap	4	
Bakumpai	every	sətiap	s3tiap	4	
Maanyan	every	tatiap	tatiap	4	
Dusun	every	tatiap	tatiap	4	
Tunjung	every	sətiap	s3tiap	4	
Kanowit	every	liap	liap	4	
Beketan	every	sat	sat	4	
Hovongan	every	stiap	stiap	4	
Ketapang	every	halɛt	halEt	5	
Mpraa	every	hŋkiə̯t	hNki3t	5	
Apo Kayan Kayan	every	haʔut	ha7ut	5	
Long Gelat	every	səkoə̯t	s3ko3t	5	
Modang woeg helag	every	səkɒt	s3kot	5	
Punan Tuvu'	every	igɛt	igEt	5	
Kereho	every	hikot	hikot	5	
Seputan	every	ikot	ikot	5	
Aoheng	every	ikot	ikot	5	
Penan Beku	every	sigət	sig3t	5	
Vo	every	sigət	sig3t	5	
Pawe	every	siŋgət	siNg3t	5	
Sawa	every	siŋgət	siNg3t	5	
Ambalo	every	salalona	salalona	6	
Sungkung	every	sopm	sopm	7	
Ribun	every	bahayə̯ʔ	bahai37	8	
Kadorih	every	inon koɾo	inonkoro	9	
Kapuas	every	genep	genep	10	
Tawoyan	every	dənuʔ	d3nu7	11	
Kejaman	every	maat	maat	12	
Lahanan	every	avun	avun	13	
Kendayan 2	every day	tiap ari	tiapari	1	
Ketapang	every day	tiap ari	tiapari	1	
Keninjal	every day	tiap aɣi	tiapaxi	1	
Seberuang	every day	tiap aɣey	tiapaxei	1	
Upper Kapuas Iban	every day	tiap ari	tiapari	1	
Mualang	every day	sətiap aɣi	s3tiapaxi	1	
Benyadu	every day	tiap ano	tiapano	1	
Bekati	every day	tiap anoʷ	tiapanow	1	
Hliboi Bidayuh	every day	tiap inəu̯	tiapin3u	1	
Golik	every day	iap ɔnu	iaponu	1	
Jangkang	every day	sotiap ony	sotiaponi	1	
Pangkodan Sanggau	every day	tiap ɔnuː	tiaponu	1	
Kadorih	every day	tiap ondow	tiapondow	1	
Kapuas	every day	genep andaw	genepandaw	1	
Bakumpai	every day	sətiap andaw	s3tiapandaw	1	
Maanyan	every day	tiap andraw	tiapandraw	1	
Dusun	every day	tiap andraw	tiapandraw	1	
Benuaq	every day	tiap oloː	tiapolo	1	
Tunjung	every day	sətiap naw	s3tiapnaw	1	
Dalat Melanau	every day	tiap law	tiaplaw	1	
Kanowit	every day	tiap law	tiaplaw	1	
Sekapan	every day	akan ɮaw	akanLaw	1	
Kejaman	every day	mat ɮaw	matLaw	1	
Beketan	every day	sat alow	satalow	1	
Hovongan	every day	tiap lo	tiaplo	1	
Burusu	every day	tiop odow	tiopodow	1	
Busang	every day	putuŋ do	putuNdo	2	
Bahau Saq	every day	putuːŋ raw	putuNraw	2	
Gaai	every day	ʤiə̯n deə̯w	ji3nde3w	3	
Kelai	every day	ʤiə̯n dao̯	ji3ndao	3	
Punan Bah	every day	karen eluow	kareneluow	4	
Punan Lisum	every day	karən aɭo	kar3naLo	4	
Punan Aput	every day	korɛn low	korEnlow	4	
Ukit	every day	karən alo	kar3nalo	4	
Buket	every day	karən alo	kar3nalo	4	
Kereho	every day	híkot ou	hikotou	5	
Seputan	every day	ikot ou	ikotou	5	
Aoheng	every day	ikot ou	ikotou	5	
Apo Kayan Kayan	every day	haʔut daw	ha7utdaw	6	
Long Gelat	every day	səkot diə̯	s3kotdi3	6	
Punan Tuvu'	every day	igɛt low	igEtlow	6	
Penan Mubui	every day	sigət daw	sig3tdaw	6	
Vo	every day	sigət ɗaw	sig3tTaw	6	
Pawe	every day	siŋgət ɗaw	siNg3tTaw	6	
Sawa	every day	siŋgət taw	siNg3ttaw	6	
Ambalo	every day	kira abeʔ aso	kiraabe7aso	7	
Sungkung	every day	pəlɨk anu	p3l3kanu	8	
Ribun	every day	milaŋ onu	milaNonu	9	
Ngorek	every day	piŋket roʔ	piNketro7	10	
Mpraa	every day	hŋkiə̯t rao̯	hNki3trao	11	
Penan Jekitan	every day	sigətsigət laŋit	sig3tsig3tlaNit	12	
Lun-Dayeh	every day	so	so	13	
Taman	excrement	taiʔ	tai7	1	
Ambalo	excrement	taiʔ	tai7	1	
Indonesian/Malay	excrement	tahi	tahi	1	
Kendayan 2	excrement	tahiʔ	tahi7	1	
Ketapang	excrement	tohi	tohi	1	
Keninjal	excrement	taiʔ	tai7	1	
Seberuang	excrement	taiʔ	tai7	1	
Upper Kapuas Iban	excrement	taɛʔ	taE7	1	
Mualang	excrement	taiʔ	tai7	1	
Benyadu	excrement	takeːʔ	take7	1	2
Bekati	excrement	takḛ́ːʔ	take7	1	2
Hliboi Bidayuh	excrement	tikiːʔ	tiki7	1	2
Hliboi Bidayuh	excrement	tikeʔ	tike7	1	2
Sungkung	excrement	tahkɛʔ	tahkE7	1	2
Golik	excrement	tɔkiʔ	toki7	1	2
Jangkang	excrement	tokeʔ	toke7	1	2
Ribun	excrement	tikɛːʔ	tikE7	1	2
Pangkodan Sanggau	excrement	tikeʔ	tike7	1	2
Kadorih	excrement	toiʔ	toi7	1	
Ngaju	excrement	taiʔ	tai7	1	
Kapuas	excrement	taiʔ	tai7	1	
Bakumpai	excrement	taiʔ	tai7	1	
Tawoyan	excrement	taiʔ	tai7	1	
Paser	excrement	taiʔ	tai7	1	
Benuaq	excrement	taeʔ	tae7	1	
Tunjung	excrement	taiʔ	tai7	1	
